,ID,Comp,Abstract,Importance,,实验二模型评估等级
6228,7078,UI,java build shortcut key work ,P3 minor (vote)  ,,2
6390,7240,UI,import file system dialog directory widget be ,P3 minor (vote)  ,,2
7879,8729,Debug,rename action set debugrun debug ,P3 minor (vote)  ,,2
8566,9416,SWT,system editor undefined solariscde ,P3 minor (vote)  ,,2
122,122,Team,cv communication error genytq ,P3 normal (vote)  ,,2
179,179,Team,error cancel addition workspace gfab ,P3 normal (vote)  ,,2
202,202,Team,ssh crc error connection ggfzv ,P3 normal (vote)  ,,2
263,263,Team,error replace folder version gkfoi ,P3 normal (vote)  ,,2
282,282,UI,wizard title be miss gfdgx ,P3 normal (vote)  ,,2
283,283,UI,miss formbannergif gfdlf ,P3 normal (vote)  ,,2
288,288,UI,miss icon dependcies page gfkrcl ,P3 normal (vote)  ,,2
290,290,UI,error do have line number gfkvw ,P3 normal (vote)  ,,2
292,292,UI,punctuation error message gfkzkx ,P3 normal (vote)  ,,2
294,294,UI,pointer exception move mouse plugins gfl ,P3 normal (vote)  ,,2
296,296,UI,launch target eclipse debugger gfmvne ,P3 normal (vote)  ,,2
303,303,UI,builder do handle ghbzkl ,P3 normal (vote)  ,,2
305,305,UI,do script generation perform build ghfcjp ,P3 normal (vote)  ,,2
307,307,UI,name collision error ghhfx ,P3 normal (vote)  ,,2
317,317,UI,error gjdt ,P3 normal (vote)  ,,2
321,321,UI,error add extension point gjpu ,P3 normal (vote)  ,,2
326,326,Resources,default test workspace create location gkewmo ,P3 normal (vote)  ,,2
330,330,UI,pde issue relate startupjar gknxnc ,P3 normal (vote)  ,,2
333,333,UI,formbannergif miss icon directory gkokx ,P3 normal (vote)  ,,2
335,335,UI,simple feature i be miss gkrmzf ,P3 normal (vote)  ,,2
338,338,UI,click class run workbench fail gkzx ,P3 normal (vote)  ,,2
391,835,UserAssistance,miss icon help view gjlhzs ,P3 normal (vote)  ,,2
399,843,UserAssistance,error dialog offer open preference gdqab ,P3 normal (vote)  ,,2
410,854,UserAssistance,help preference remote install specify fails getz ,P3 normal (vote)  ,,2
418,862,UserAssistance,print topic tree doesnt use default printer gfsv ,P3 normal (vote)  ,,2
683,1519,Debug,readme hit count reset gety ,P3 normal (vote)  ,,2
750,1586,Debug,break enter gekst ,P3 normal (vote)  ,,2
759,1595,Debug,exception step gelebf ,P3 normal (vote)  ,,2
764,1600,Debug,bug icon program suggest program be gencvc ,P3 normal (vote)  ,,2
772,1608,Debug,readme cannot connect vm time geunh ,P3 normal (vote)  ,,2
773,1609,Debug,debug j win mb geti ,P3 normal (vote)  ,,2
782,1618,Debug,readme debug do see source change geung ,P3 normal (vote)  ,,2
814,1650,Debug,rundebug console display confuse gfctb ,P3 normal (vote)  ,,2
836,1672,Debug,cannot evaluate class jar ghuyk ,P3 normal (vote)  ,,2
886,1722,Debug,know problem eval binary class libs cause classnotfoundexception gle ,P3 normal (vote)  ,,2
929,1765,Debug,display default protection gle ,P3 normal (vote)  ,,2
951,1787,Scripting,error script gfxl ,P3 normal (vote)  ,,2
954,1790,Scripting,import title be miss gffy ,P3 normal (vote)  ,,2
967,1803,Scripting,batch script example fail open project gjc ,P3 normal (vote)  ,,2
1040,1876,UI,error be gctemx ,P3 normal (vote)  ,,2
1066,1902,UI,sh building take step gbacbr ,P3 normal (vote)  ,,2
1082,1918,UI,property dialog suggestion pref page autobuild be order page gccluv ,P3 normal (vote)  ,,2
1113,1949,UI,crash file delete gdkg ,P3 normal (vote)  ,,2
1133,1969,UI,miss icon show viewothers dialog gdgbj ,P3 normal (vote)  ,,2
1157,1993,UI,project build project build be confuse gdku ,P3 normal (vote)  ,,2
1166,2002,UI,build menu label be confuse gdfju ,P3 normal (vote)  ,,2
1168,2004,UI,assertion fail rename project navigator gdexrc ,P3 normal (vote)  ,,2
1182,2018,UI,build autosaves editor change gdiji ,P3 normal (vote)  ,,2
1192,2028,UI,error message delete project gdqr ,P3 normal (vote)  ,,2
1211,2047,UI,dialog error dialog do wrap text gduj ,P3 normal (vote)  ,,2
1281,2117,UI,dd detach window fail gem ,P3 normal (vote)  ,,2
1322,2158,UI,get editor open system editor gklyf ,P3 normal (vote)  ,,2
1418,2254,UI,build rebuild be deselected project have builder geaw ,P3 normal (vote)  ,,2
1422,2258,UI,idialogconstantscancellabel miss shortcut key geeacw ,P3 normal (vote)  ,,2
1426,2262,UI,error open example property page project gelfzd ,P3 normal (vote)  ,,2
1454,2290,UI,error open paint gellp ,P3 normal (vote)  ,,2
1488,2324,UI,error comment gerd ,P3 normal (vote)  ,,2
1489,2325,UI,property page miss project info gepde ,P3 normal (vote)  ,,2
1584,2420,UI,click script editor fail activate gfca ,P3 normal (vote)  ,,2
1640,2476,UI,box import zip detail be mislead gfym ,P3 normal (vote)  ,,2
1644,2480,UI,perspective perspectivesave error msg gfji ,P3 normal (vote)  ,,2
1647,2483,UI,component import jar fail package exist gfaz ,P3 normal (vote)  ,,2
1664,2500,UI,change rebuild navigator context menu gfbqg ,P3 normal (vote)  ,,2
1666,2502,UI,doc miss attribute extension point gfbsv ,P3 normal (vote)  ,,2
1669,2505,UI,workbench open take minute autobuild gfcvtu ,P3 normal (vote)  ,,2
1697,2533,UI,property page miss project perspective gflxo ,P3 normal (vote)  ,,2
1735,2571,UI,j error create file project character name ggyusr ,P3 normal (vote)  ,,2
1739,2575,UI,jface text bug orgeclipseuitexteditor inconsistency gglru ,P3 normal (vote)  ,,2
1760,2596,UI,j error delete project character name ggyuvp ,P3 normal (vote)  ,,2
1773,2609,UserAssistance,help system be dialog ggzhs ,P3 normal (vote)  ,,2
1812,2648,UI,ec crash file open ghpy ,P3 normal (vote)  ,,2
1885,2721,UI,dnd dnd multifile import cause build giiq ,P3 normal (vote)  ,,2
1897,2733,UI,miss editor open editor hide gitprw ,P3 normal (vote)  ,,2
1909,2745,UI,miss menu dialog corner gkmut ,P3 normal (vote)  ,,2
1920,2756,UI,component help file system import wizard page givl ,P3 normal (vote)  ,,2
1921,2757,UI,ec export fail file synch givds ,P3 normal (vote)  ,,2
1924,2760,UI,workbench resize crash stack givr ,P3 normal (vote)  ,,2
1950,2786,UI,javadoc error gjczs ,P3 normal (vote)  ,,2
1963,2799,UI,dialog errordialog modifies share image gjums ,P3 normal (vote)  ,,2
1980,2816,UI,component completion box appear error gjuw ,P3 normal (vote)  ,,2
2037,2873,UI,turn setting do build gkzpg ,P3 normal (vote)  ,,2
2044,2880,UI,test fail gkdo ,P3 normal (vote)  ,,2
2077,2913,UI,example prefs miss mnemonic gkmtu ,P3 normal (vote)  ,,2
2096,2932,UI,error recreate project gkryto ,P3 normal (vote)  ,,2
2097,2933,Compare,compare cant compare file timeout gkryw ,P3 normal (vote)  ,,2
2106,2942,UI,return value read info fail gkxm ,P3 normal (vote)  ,,2
2115,2951,UI,action be enable project have builder gkxbxl ,P3 normal (vote)  ,,2
2129,2965,UI,rebuild refresh ui ,P3 normal (vote)  ,,2
2146,2982,UI,code error filtercontentproviderreadfiles glf ,P3 normal (vote)  ,,2
2159,2995,Resources,miss content type server fujqo ,P3 normal (vote)  ,,2
2165,3001,Resources,deletion fail explorer be open folder fwlyj ,P3 normal (vote)  ,,2
2169,3005,UI,reference extension point result startup problem gfnn ,P3 normal (vote)  ,,2
2203,3039,Resources,performance improvement xml parse startup genbi ,P3 normal (vote)  ,,2
2211,3047,Ant,javac task use execution runtime compile gfsc ,P3 normal (vote)  ,,2
2214,3050,Ant,cannot see icon nt gfytt ,P3 normal (vote)  ,,2
2220,3056,Resources,problem deal plugins idversion gflk ,P3 normal (vote)  ,,2
2222,3058,Build,component script assume plugin script create destination dir gfq ,P3 normal (vote)  ,,2
2230,3066,Resources,test historystoreperformance part pluginxml gfycu ,P3 normal (vote)  ,,2
2231,3067,Resources,test pluginxml gfygh ,P3 normal (vote)  ,,2
2241,3077,Resources,shutdown restart platform ggld ,P3 normal (vote)  ,,2
2242,3078,UI,create file path inconsistent file system path gglysn ,P3 normal (vote)  ,,2
2245,3081,Resources,support specify info pluginfind ggpfn ,P3 normal (vote)  ,,2
2259,3095,Resources,string contribute fragmentxml cannot be translate ghozi ,P3 normal (vote)  ,,2
2262,3098,UI,wizard error validation destination folder project giid ,P3 normal (vote)  ,,2
2270,3106,Resources,ibm jdk sr fails space path girhb ,P3 normal (vote)  ,,2
2275,3111,Resources,plugin jar cache gitmty ,P3 normal (vote)  ,,2
2279,3115,Resources,need have equivalent pluginfind activation gjbq ,P3 normal (vote)  ,,2
2283,3119,Ant,view have bogus icon startup gjljn ,P3 normal (vote)  ,,2
2301,3137,Resources,performance autobuild project glni ,P3 normal (vote)  ,,2
2329,3165,Update(deprecated-useEclipse>Equinox>p2),default handle application runtime startupjar geagzd ,P3 normal (vote)  ,,2
2339,3175,Core,jcka icls compare instance enclose instance class gldsbs ,P3 normal (vote)  ,,2
2340,3176,Core,jcka stmt declaration try block gldsh ,P3 normal (vote)  ,,2
2351,3187,Resources,javabuilder builder progress dialog be fvkpdg ,P3 normal (vote)  ,,2
2356,3192,Core,type hierarchy miss type hierarchy gfrn ,P3 normal (vote)  ,,2
2363,3199,Core,miss classpath variable ghuar ,P3 normal (vote)  ,,2
2364,3200,Core,javabuilder build progress message be shorten geawh ,P3 normal (vote)  ,,2
2367,3203,Core,cannot class class path gqvg ,P3 normal (vote)  ,,2
2381,3217,Core,jm delete default package gz ,P3 normal (vote)  ,,2
2382,3218,Core,interface ace icompilationunit gdzp ,P3 normal (vote)  ,,2
2392,3228,Core,discard rtjar path trigger recompilation gauj ,P3 normal (vote)  ,,2
2398,3234,Core,builder do addition javalangobject project gbmt ,P3 normal (vote)  ,,2
2411,3247,Core,selectionengine move selection enclose gcsdd ,P3 normal (vote)  ,,2
2424,3260,Core,do project build gdrqsx ,P3 normal (vote)  ,,2
2437,3273,Core,get compilationunit class file ge ,P3 normal (vote)  ,,2
2446,3282,Core,jck dasg assign catch block return statement gkahx ,P3 normal (vote)  ,,2
2449,3285,Core,do change source attachment trigger build gehxw ,P3 normal (vote)  ,,2
2451,3287,Core,build state do remember pkg fragment root gelfjo ,P3 normal (vote)  ,,2
2454,3290,Core,javabuilder class file remain change output location getpq ,P3 normal (vote)  ,,2
2470,3306,Core,cant compile jdk src gfx ,P3 normal (vote)  ,,2
2472,3308,Core,project build order load gftn ,P3 normal (vote)  ,,2
2501,3337,Core,open selection fail message gifa ,P3 normal (vote)  ,,2
2531,3367,Core,jck icls instance initializer class throw exception gklyf ,P3 normal (vote)  ,,2
2534,3370,Core,compiler be compile project gjuooa ,P3 normal (vote)  ,,2
2583,3419,Core,asserion fail gkbch ,P3 normal (vote)  ,,2
2586,3422,Core,npe builder catchup gkeo ,P3 normal (vote)  ,,2
2597,3433,Core,search miss field occurrecnces gkzj ,P3 normal (vote)  ,,2
2981,3817,UI,class creation button be enable be error gevp ,P3 normal (vote)  ,,2
3029,3865,UI,miss mnemonic gfqrr ,P3 normal (vote)  ,,2
3061,3897,UI,rename package introduces error dirty gfpll ,P3 normal (vote)  ,,2
3226,4062,UI,jar export miss mnemonic ghbzjy ,P3 normal (vote)  ,,2
3231,4067,UI,add jre dialog error ghhjdn ,P3 normal (vote)  ,,2
3248,4084,Debug,open declrec type bug ,P3 normal (vote)  ,,2
3251,4087,UI,compiler option setting persist gkpnp ,P3 normal (vote)  ,,2
3296,4132,UI,error tick project add workspace givhd ,P3 normal (vote)  ,,2
3305,4141,UI,refactoring miss rename type giwiff ,P3 normal (vote)  ,,2
3324,4160,UI,rename strip cause error gjhkl ,P3 normal (vote)  ,,2
3338,4174,UI,view class show error icon gjmc ,P3 normal (vote)  ,,2
3348,4184,UI,miss icon search delete method gjyim ,P3 normal (vote)  ,,2
3380,4217,UI,java build path tab show tab name gkgif ,P3 normal (vote)  ,,2
3393,4230,UI,class wizard fail gkddre ,P3 normal (vote)  ,,2
3420,4257,UI,package view overwrite file warn gkmwl ,P3 normal (vote)  ,,2
3424,4261,UI,error icon outline glash ,P3 normal (vote)  ,,2
3436,4273,UI,compiler option change handle gkwri ,P3 normal (vote)  ,,2
3446,4283,UI,assertion fail open rename parameter gkyyn ,P3 normal (vote)  ,,2
3449,4286,UI,organize import error be gkzhz ,P3 normal (vote)  ,,2
3450,4287,UI,method error message gkzum ,P3 normal (vote)  ,,2
3457,4294,Debug,bw uimains debugrunning man menu gkzdgw ,P3 normal (vote)  ,,2
3460,4297,UI,deletion package fails gkzkv ,P3 normal (vote)  ,,2
3468,4305,UI,smoke jarpackager xml parse error console glvrg ,P3 normal (vote)  ,,2
3469,4306,UI,error refactoring wizard gllrf ,P3 normal (vote)  ,,2
3516,4354,UI,template press present error ,P3 normal (vote)  ,,2
3536,4374,Team,puzzle error messaging ,P3 normal (vote)  ,,2
3546,4384,Core,set classpath variable do build ,P3 normal (vote)  ,,2
3981,4821,SWT,system font be regardless window setting gjpxz ,P3 normal (vote)  ,,2
3997,4837,SWT,javadoc cursor constructor errornohandles be speced gkaq ,P3 normal (vote)  ,,2
4049,4889,Team,cv communication error read time gjoxnl ,P3 normal (vote)  ,,2
4073,4913,Core,argument incrementalimagebuildergetbuildertype ,P3 normal (vote)  ,,2
4097,4939,Resources,runninghtml miss parameter glfvr ,P3 normal (vote)  ,,2
4138,4980,UI,extract method throw catch exception ,P3 normal (vote)  ,,2
4139,4981,UI,refactor action show error dialog ,P3 normal (vote)  ,,2
4159,5002,Resources,incrementalprojectbuilderbuild mention handle cancel ,P3 normal (vote)  ,,2
4184,5028,UI,outliner fail sequence declaration ,P3 normal (vote)  ,,2
4206,5051,Debug,display view lose format restart ,P3 normal (vote)  ,,2
4221,5068,Core,search miss method reference ,P3 normal (vote)  ,,2
4222,5069,Core,search method reference missing ,P3 normal (vote)  ,,2
4223,5070,Core,search miss interface method reference ,P3 normal (vote)  ,,2
4226,5073,Core,delete do work default package ,P3 normal (vote)  ,,2
4229,5076,Core,code resolve fail ,P3 normal (vote)  ,,2
4230,5077,UI,orgeclipsejdtjunit do compile java ,P3 normal (vote)  ,,2
4254,5102,Resources,builder get delta ,P3 normal (vote)  ,,2
4255,5103,UI,miss property package view ,P3 normal (vote)  ,,2
4258,5106,Team,crc error closing stream connection ,P3 normal (vote)  ,,2
4264,5112,Debug,source lookup break alternate runtime jre ,P3 normal (vote)  ,,2
4280,5128,UI,javauirevealineditor doesnt handle icompilationunits ,P3 normal (vote)  ,,2
4289,5137,UI,ctrl s be work editor build ,P3 normal (vote)  ,,2
4306,5154,UI,resource x do exist error delete x ,P3 normal (vote)  ,,2
4321,5169,Ant,miss coredll ,P3 normal (vote)  ,,2
4346,5194,UI,assertionfailedex press f view ,P3 normal (vote)  ,,2
4352,5200,Core,setclasspathoperation close root root be remove ,P3 normal (vote)  ,,2
4362,5211,UI,line break problem use add history ,P3 normal (vote)  ,,2
4377,5226,Team,cv authentication error say namepassword path ,P3 normal (vote)  ,,2
4400,5249,UI,miss resource opentypehierarchyhelper ,P3 normal (vote)  ,,2
4402,5251,Resources,deadlock vulnerability plugindescriptor ,P3 normal (vote)  ,,2
4403,5252,UI,create jar file be open text editor system editor winzip ,P3 normal (vote)  ,,2
4407,5256,Resources,plugin prerequisite match attribute change ,P3 normal (vote)  ,,2
4409,5258,UI,error try create template ,P3 normal (vote)  ,,2
4418,5267,Core,project compile project be save ,P3 normal (vote)  ,,2
4437,5286,Debug,walkback relaunching program ,P3 normal (vote)  ,,2
4438,5287,Team,error open editor compare project version ,P3 normal (vote)  ,,2
4447,5296,UI,tvt hardcoded string system editor ,P3 normal (vote)  ,,2
4453,5302,Compare,compare browser have ignore whitespace option ,P3 normal (vote)  ,,2
4456,5305,Ant,tvt hardcoded category name orgeclipseantuipluginxml ,P3 normal (vote)  ,,2
4459,5308,UI,error use template ,P3 normal (vote)  ,,2
4464,5313,Resources,message workspace do start plugin do have version number ,P3 normal (vote)  ,,2
4467,5316,Debug,cannot copy console ,P3 normal (vote)  ,,2
4472,5321,UI,rename compilation unit ,P3 normal (vote)  ,,2
4533,5383,Team,javaioioexception close synchronize ,P3 normal (vote)  ,,2
4583,5433,UI,tvt hardcoded string export error message ,P3 normal (vote)  ,,2
4585,5435,UI,tvt harcoded string system editor ,P3 normal (vote)  ,,2
4627,5477,UI,miss resource package view ,P3 normal (vote)  ,,2
4652,5502,UI,bring task window error ,P3 normal (vote)  ,,2
4654,5504,UI,close java editor switch hierarchy view doesnt editor ,P3 normal (vote)  ,,2
4703,5553,Debug,remote debug arm target ,P3 normal (vote)  ,,2
4724,5574,SWT,gp ide crash ,P3 normal (vote)  ,,2
4791,5641,Core,npe rebuild replace jar ,P3 normal (vote)  ,,2
4800,5650,Releng,plugin jar file have permission directory ,P3 normal (vote)  ,,2
4853,5703,Team,cv module definition error ,P3 normal (vote)  ,,2
4876,5726,Resources,eclipse logo bug ,P3 normal (vote)  ,,2
4885,5735,UI,compute java build path add library werent export ,P3 normal (vote)  ,,2
4897,5747,UI,create plugin jar need include foldes classpath ,P3 normal (vote)  ,,2
4931,5781,Core,use image builder ,P3 normal (vote)  ,,2
4938,5788,UI,build preference text ,P3 normal (vote)  ,,2
4951,5801,Resources,runtime runtime plugin class loader trick ,P3 normal (vote)  ,,2
4953,5803,UI,error tick severity sort ,P3 normal (vote)  ,,2
4958,5808,Debug,console output be lose ,P3 normal (vote)  ,,2
5002,5852,Core,project reference update accord buildpath ,P3 normal (vote)  ,,2
5013,5863,Debug,jdi exception handle ,P3 normal (vote)  ,,2
5019,5869,UI,eclipseexe throwing exception ,P3 normal (vote)  ,,2
5021,5871,Debug,vmdisconnectedexception notification resume ,P3 normal (vote)  ,,2
5033,5883,Debug,notification exception stepping ,P3 normal (vote)  ,,2
5063,5913,Core,performance create ton element startup ,P3 normal (vote)  ,,2
5083,5933,Resources,eclipse require permission install directory ,P3 normal (vote)  ,,2
5094,5944,Resources,bug pathappend ,P3 normal (vote)  ,,2
5095,5945,Debug,npe debug ,P3 normal (vote)  ,,2
5113,5963,Debug,unsupportedoperationexception run program ,P3 normal (vote)  ,,2
5129,5979,UI,shift package view crash eclipse ,P3 normal (vote)  ,,2
5134,5984,Debug,unsupportedoperationexception resume thread ,P3 normal (vote)  ,,2
5135,5985,Debug,debugtarget show ,P3 normal (vote)  ,,2
5178,6028,Resources,eclipseexe stick eclipse fail load ,P3 normal (vote)  ,,2
5191,6041,SWT,error try execute application use swt ,P3 normal (vote)  ,,2
5208,6058,Resources,resource copy ifolder lose set ,P3 normal (vote)  ,,2
5210,6060,Resources,ipackagefragmentcopy lose setting ,P3 normal (vote)  ,,2
5218,6068,Core,walkback plugin import ,P3 normal (vote)  ,,2
5250,6100,Core,bug objectsetenumerationnextelement ,P3 normal (vote)  ,,2
5261,6111,Core,miss completion ,P3 normal (vote)  ,,2
5291,6141,UI,run runtime workbench doesnt add run debug pulldowns ,P3 normal (vote)  ,,2
5296,6146,UI,java editor preference page be miss mnemonic ,P3 normal (vote)  ,,2
5371,6221,UI,npe compilationuniteditor ,P3 normal (vote)  ,,2
5412,6262,Ant,integration take project buildpath ,P3 normal (vote)  ,,2
5438,6288,UI,crash click view hierarchy class ,P3 normal (vote)  ,,2
5460,6310,Resources,runtime test fail platform wink ,P3 normal (vote)  ,,2
5461,6311,SWT,task viewer truncate error message ,P3 normal (vote)  ,,2
5464,6314,Team,cv communication error ,P3 normal (vote)  ,,2
5485,6335,Resources,cannot put fragment ,P3 normal (vote)  ,,2
5489,6339,Core,assertion fail sourcetype ,P3 normal (vote)  ,,2
5518,6368,UI,filter work set dialog cancel button misleading ,P3 normal (vote)  ,,2
5548,6398,UI,error try run ,P3 normal (vote)  ,,2
5599,6449,UI,error closing workspace ,P3 normal (vote)  ,,2
5600,6450,UI,method miss package context menu class ,P3 normal (vote)  ,,2
5638,6488,Core,classpath variable allow plugins reserve ,P3 normal (vote)  ,,2
5660,6510,Debug,change java debug option debug target ,P3 normal (vote)  ,,2
5693,6543,UI,miss mnemonic preference page ,P3 normal (vote)  ,,2
5695,6545,Scripting,miss mnemonic script preference ,P3 normal (vote)  ,,2
5697,6547,UserAssistance,miss mnemonic help preference ,P3 normal (vote)  ,,2
5716,6566,UI,change extension class property use dialog cause error ,P3 normal (vote)  ,,2
5724,6574,UI,miss message copy java project ,P3 normal (vote)  ,,2
5765,6615,Debug,ioexception run test suite ,P3 normal (vote)  ,,2
5775,6625,Resources,npe postsynchronization build ,P3 normal (vote)  ,,2
5782,6632,Resources,plugin registry doesnt mark fragment ,P3 normal (vote)  ,,2
5794,6644,UI,compilation problem do structure compare ,P3 normal (vote)  ,,2
5808,6658,UI,error filedocumentprovider ,P3 normal (vote)  ,,2
5820,6670,Core,code assist cannot resolve method body ,P3 normal (vote)  ,,2
5821,6671,Resources,orgeclipsecoreresources directory be plugin ,P3 normal (vote)  ,,2
5824,6674,Core,cannot add method ,P3 normal (vote)  ,,2
5830,6680,UI,method return statement insert error ,P3 normal (vote)  ,,2
5867,6717,UI,build java preference link hierarchy view editor ,P3 normal (vote)  ,,2
5868,6718,UI,error tick resource ,P3 normal (vote)  ,,2
5893,6743,Debug,exception preference have group title ,P3 normal (vote)  ,,2
5901,6751,Resources,pluginclassloader return list ,P3 normal (vote)  ,,2
5910,6760,Core,package name truncate compilation dialog ,P3 normal (vote)  ,,2
5921,6771,Debug,debugevent constructor change take idebugelement ,P3 normal (vote)  ,,2
5938,6788,UI,error open browser eclipse workbench ,P3 normal (vote)  ,,2
5977,6827,UI,project report error use case ,P3 normal (vote)  ,,2
5999,6849,UI,copypaste shortcut need pluginxml property editor ,P3 normal (vote)  ,,2
6008,6858,SWT,gp crash vm ,P3 normal (vote)  ,,2
6041,6891,UI,enclose type checkbox doesnt appear order class wizard ,P3 normal (vote)  ,,2
6047,6897,UI,navigator focus lose drop cause prompt ,P3 normal (vote)  ,,2
6055,6905,UI,source do show debugger run runtime workbench ,P3 normal (vote)  ,,2
6061,6911,Debug,terminate remove do notify jdidebugtarget ,P3 normal (vote)  ,,2
6083,6933,SWT,switch help perspective crash workbench ,P3 normal (vote)  ,,2
6130,6980,Debug,jdkdebuglauncher company be rename ,P3 normal (vote)  ,,2
6134,6984,Core,faulttolerance presence binary ,P3 normal (vote)  ,,2
6142,6992,UI,globalactions revert be miss edit pulldown ,P3 normal (vote)  ,,2
6152,7002,Debug,suspend exception do expose type exception ,P3 normal (vote)  ,,2
6158,7008,Debug,ordering action debug menu ,P3 normal (vote)  ,,2
6160,7010,UI,contribution ieditoractiondelegate need setactiveeditor call editor close ,P3 normal (vote)  ,,2
6183,7033,Core,package view move compilation unit ,P3 normal (vote)  ,,2
6188,7038,SWT,gp eclipse crash openning type ,P3 normal (vote)  ,,2
6190,7040,UI,organize import error ,P3 normal (vote)  ,,2
6207,7057,UI,source folder menu entry miss ,P3 normal (vote)  ,,2
6236,7086,UI,jface text error pde xml source editor open context menu ,P3 normal (vote)  ,,2
6237,7087,UI,miss property page java project package view ,P3 normal (vote)  ,,2
6238,7088,UI,selfhosting target hang do search debugger ,P3 normal (vote)  ,,2
6245,7095,SWT,gp eclipse crash ,P3 normal (vote)  ,,2
6252,7102,SWT,griddata crash exn ,P3 normal (vote)  ,,2
6285,7135,UI,export file system preselect editor file ,P3 normal (vote)  ,,2
6287,7137,Core,type flag compiler ,P3 normal (vote)  ,,2
6319,7169,Debug,debug f key enable editor ,P3 normal (vote)  ,,2
6366,7216,UI,build supersizes font ,P3 normal (vote)  ,,2
6389,7239,Core,resolve type name use context compilation unit ,P3 normal (vote)  ,,2
6401,7251,UI,compiler preference page box have size ,P3 normal (vote)  ,,2
6425,7275,Team,error be accumulate show error dialog ,P3 normal (vote)  ,,2
6441,7291,Debug,inspector do memorize object debug session ,P3 normal (vote)  ,,2
6449,7299,UI,surround trycatch allow catch block ,P3 normal (vote)  ,,2
6451,7301,Debug,way switch custom perspective debug ,P3 normal (vote)  ,,2
6481,7331,UI,create gettersetter fail variable name start f ,P3 normal (vote)  ,,2
6498,7348,UI,java build path delete project discrepancy ,P3 normal (vote)  ,,2
6505,7355,Resources,cannot find workspace launch shortcut ,P3 normal (vote)  ,,2
6531,7381,UI,search result block hover help problem ,P3 normal (vote)  ,,2
6542,7392,Debug,jdithreads show respond startup ,P3 normal (vote)  ,,2
6549,7399,Team,error add workspace ,P3 normal (vote)  ,,2
6566,7416,Team,cvsnt error compare project version ,P3 normal (vote)  ,,2
6570,7420,Debug,debug reference jdt ,P3 normal (vote)  ,,2
6572,7422,Core,miss project reference import java project ,P3 normal (vote)  ,,2
6595,7445,Core,charstring concat bug ,P3 normal (vote)  ,,2
6612,7462,UI,move java file fail package view ,P3 normal (vote)  ,,2
6615,7465,UI,crash try save file ,P3 normal (vote)  ,,2
6625,7475,Team,synchronization crash file open ,P3 normal (vote)  ,,2
6635,7485,Core,itype resolve fails ,P3 normal (vote)  ,,2
6648,7498,UI,save fail java editor ,P3 normal (vote)  ,,2
6667,7517,Core,control format fo do block ,P3 normal (vote)  ,,2
6688,7538,UI,workbench crash replace method history ,P3 normal (vote)  ,,2
6689,7539,UI,loop titleareadialogsetmessage be call seterrormessage ,P3 normal (vote)  ,,2
6790,7640,Resources,builder be run project ,P3 normal (vote)  ,,2
6825,7675,Team,crash merge ,P3 normal (vote)  ,,2
6882,7732,Resources,build use editor ,P3 normal (vote)  ,,2
6902,7752,UI,export multiple file file name directory zip file fails ,P3 normal (vote)  ,,2
7035,7885,Team,error occur remove file be recreate sync ,P3 normal (vote)  ,,2
7045,7895,Core,wierd state project build inconsistent ,P3 normal (vote)  ,,2
7092,7942,UI,property view redraws change system font ,P3 normal (vote)  ,,2
7106,7956,Core,reference find blockscopeanalysisindex ,P3 normal (vote)  ,,2
7114,7964,Debug,move java debug option java preference page section ,P3 normal (vote)  ,,2
7119,7969,UI,editor reuse debugger ,P3 normal (vote)  ,,2
7126,7976,Core,jdt miss java file create pde ,P3 normal (vote)  ,,2
7176,8026,Debug,terminate show debug history ,P3 normal (vote)  ,,2
7190,8040,Core,java source reference wont compile ,P3 normal (vote)  ,,2
7196,8046,Team,see error dialog check ,P3 normal (vote)  ,,2
7207,8057,UI,deadlock savebuild java file ,P3 normal (vote)  ,,2
7218,8068,UI,search miss work set name seearch implementors ,P3 normal (vote)  ,,2
7219,8069,UI,search miss work set name ,P3 normal (vote)  ,,2
7227,8077,UI,search show incorrect result file warning ,P3 normal (vote)  ,,2
7232,8082,UI,template pref page export overwrite warn ,P3 normal (vote)  ,,2
7233,8083,Debug,npe debug terminate ,P3 normal (vote)  ,,2
7236,8086,Debug,debug run result behavior ctrlf ,P3 normal (vote)  ,,2
7238,8088,UI,template pref page esc dismiss dialog i dont want ,P3 normal (vote)  ,,2
7247,8097,UI,accessability editor error description line ,P3 normal (vote)  ,,2
7261,8111,Debug,incompatiblethreadstateexception display detail pane thread suspend ,P3 normal (vote)  ,,2
7263,8113,UI,collison miss package view ,P3 normal (vote)  ,,2
7265,8115,UI,miss package view ,P3 normal (vote)  ,,2
7278,8128,UI,miss mnemoic view ,P3 normal (vote)  ,,2
7280,8130,UI,widget be dispose error tabbing linux ,P3 normal (vote)  ,,2
7281,8131,UI,javadoc help incorrect exception ,P3 normal (vote)  ,,2
7339,8189,Debug,debug launch open debug perspective ,P3 normal (vote)  ,,2
7347,8197,UI,task list have way see error ,P3 normal (vote)  ,,2
7354,8204,UI,task find error info use keyboard ,P3 normal (vote)  ,,2
7355,8205,UI,miss outline implementation ,P3 normal (vote)  ,,2
7376,8226,UI,miss mnemonic appearance preference ,P3 normal (vote)  ,,2
7387,8237,UI,java model debug code get integration drop ,P3 normal (vote)  ,,2
7396,8246,Debug,spacing label debugtarget terminate ,P3 normal (vote)  ,,2
7402,8252,Debug,label expression incorrect ,P3 normal (vote)  ,,2
